var_1,var_2,correlation,abs_corr,corr_level
Nmax,FM,0.18390434259640817,0.18390434259640817,LOW
Nzeros,Max,0.18376556817511916,0.18376556817511916,LOW
Variance,FM,0.1777929660118511,0.1777929660118511,LOW
FM,Width,0.17144806155742146,0.17144806155742146,LOW
MLTV,ALTV,-0.17111405315916906,0.17111405315916906,LOW
UC,Mean,-0.1697389624833302,0.1697389624833302,LOW
Median,Width,-0.16885434348017017,0.16885434348017017,LOW
Nmax,ASTV,-0.16756129106370854,0.16756129106370854,LOW
ALTV,Mode,0.1652114207274899,0.1652114207274899,LOW
MLTV,Variance,-0.16407917125409757,0.16407917125409757,LOW
Median,DS,-0.1604512568524429,0.1604512568524429,LOW
Width,Mode,-0.15926064748432653,0.15926064748432653,LOW
DS,Mean,-0.1586728693267376,0.1586728693267376,LOW
FM,Min,-0.15842172474878086,0.15842172474878086,LOW
AC,Min,-0.15744664065376743,0.15744664065376743,LOW
DL,LB,-0.15590798176312393,0.15590798176312393,LOW
Tendency,MLTV,0.15309295325933298,0.15309295325933298,LOW
Width,UC,0.15298987988115667,0.15298987988115667,LOW
UC,DP,0.15239456489858483,0.15239456489858483,LOW
Nzeros,ASTV,-0.14929643065570353,0.14929643065570353,LOW
LB,Width,-0.14767876236258934,0.14767876236258934,LOW
UC,Max,0.14664546495120642,0.14664546495120642,LOW
ASTV,Variance,-0.14643381721284346,0.14643381721284346,LOW
MLTV,Min,-0.14497634290833125,0.14497634290833125,LOW
Max,Tendency,-0.14311067678455242,0.14311067678455242,LOW
DP,ALTV,-0.1401334943927294,0.1401334943927294,LOW
MSTV,FM,0.13806079028392734,0.13806079028392734,LOW
MLTV,Mean,0.13781333227562242,0.13781333227562242,LOW
DS,Variance,0.1364205210385527,0.1364205210385527,LOW
DP,Max,0.13425360498598315,0.13425360498598315,LOW
LB,Variance,-0.13393805449156787,0.13393805449156787,LOW
AC,MLTV,-0.1289005701871231,0.1289005701871231,LOW
LB,UC,-0.12772234032834157,0.12772234032834157,LOW
MLTV,Nzeros,0.12386909917175828,0.12386909917175828,LOW
Median,Nmax,-0.12284409532052826,0.12284409532052826,LOW
Nzeros,ALTV,-0.12178368033290006,0.12178368033290006,LOW
DL,DS,0.12161685716808175,0.12161685716808175,LOW
Median,ASTV,0.11996016869888822,0.11996016869888822,LOW
Width,Tendency,0.11815182865787935,0.11815182865787935,LOW
DP,LB,-0.11713291667535058,0.11713291667535058,LOW
ASTV,FM,-0.11646138966784615,0.11646138966784615,LOW
LB,Nmax,-0.11393332308162091,0.11393332308162091,LOW
UC,Min,-0.11259708428767491,0.11259708428767491,LOW
Variance,AC,0.11198056347353348,0.11198056347353348,LOW
Max,ASTV,-0.11180605010393083,0.11180605010393083,LOW
FM,Max,0.1112281468845472,0.1112281468845472,LOW
Median,UC,-0.11104055398565932,0.11104055398565932,LOW
Width,MLTV,0.11094205698092154,0.11094205698092154,LOW
DP,AC,-0.11031738672526976,0.11031738672526976,LOW
Tendency,Nmax,0.11011410347104118,0.11011410347104118,LOW
UC,MLTV,-0.10659044601029377,0.10659044601029377,LOW
Mode,Nmax,-0.10012332103772802,0.10012332103772802,LOW
Nmax,UC,0.09551170554373475,0.09551170554373475,LOW
Mean,FM,-0.08571801970737689,0.08571801970737689,LOW
Nzeros,Tendency,0.08469422158118516,0.08469422158118516,LOW
Nzeros,Mean,-0.08441729113926227,0.08441729113926227,LOW
UC,ASTV,-0.07965119774848076,0.07965119774848076,LOW
Tendency,Variance,-0.07801258126644744,0.07801258126644744,LOW
AC,LB,-0.0779671060345506,0.0779671060345506,LOW
Mode,UC,-0.07769490949892208,0.07769490949892208,LOW
FM,DL,0.07628314465810203,0.07628314465810203,LOW
ASTV,Mean,0.07455369205091086,0.07455369205091086,LOW
MSTV,MLTV,0.07389177474776012,0.07389177474776012,LOW
ALTV,FM,-0.07221420747883472,0.07221420747883472,LOW
Mode,MLTV,0.07207096766314197,0.07207096766314197,LOW
DS,Min,-0.07197381383124586,0.07197381383124586,LOW
DS,Tendency,-0.07048311550153423,0.07048311550153423,LOW
Tendency,MSTV,-0.06613968520664565,0.06613968520664565,LOW
Median,MLTV,0.06322753276245582,0.06322753276245582,LOW
UC,Tendency,-0.06099450597079024,0.06099450597079024,LOW
ASTV,Mode,0.05836309356244802,0.05836309356244802,LOW
Nzeros,Mode,-0.057978109121297305,0.057978109121297305,LOW
MLTV,Nmax,0.056357458810316105,0.056357458810316105,LOW
Median,FM,-0.056280574289042894,0.056280574289042894,LOW
FM,AC,0.05395615807368297,0.05395615807368297,LOW
DP,ASTV,0.05367702579418475,0.05367702579418475,LOW
DS,LB,-0.05351754989753265,0.05351754989753265,LOW
Median,Nzeros,-0.052896401054149084,0.052896401054149084,LOW
Nzeros,DP,0.04631995933909214,0.04631995933909214,LOW
Width,DS,0.0448795845813674,0.0448795845813674,LOW
DS,Nzeros,0.04344138709966855,0.04344138709966855,LOW
ALTV,Tendency,0.042481236050332674,0.042481236050332674,LOW
AC,DS,-0.03934109146807536,0.03934109146807536,LOW
DS,MLTV,-0.03766689744034891,0.03766689744034891,LOW
Mode,FM,-0.03749156845995521,0.03749156845995521,LOW
DL,ASTV,-0.03703951714031159,0.03703951714031159,LOW
UC,FM,-0.036625751462027956,0.036625751462027956,LOW
DS,MSTV,0.03412985584937679,0.03412985584937679,LOW
ASTV,DS,0.0339485938874552,0.0339485938874552,LOW
LB,FM,-0.033305405572019865,0.033305405572019865,LOW
Tendency,AC,0.03223452972978115,0.03223452972978115,LOW
LB,MLTV,-0.032091022729772725,0.032091022729772725,LOW
ALTV,DS,-0.030770212558754336,0.030770212558754336,LOW
UC,Nzeros,0.02270092061786354,0.02270092061786354,LOW
DS,Max,-0.021134754052994413,0.021134754052994413,LOW
MLTV,FM,0.021030707625342655,0.021030707625342655,LOW
DS,DP,0.019765827832438673,0.019765827832438673,LOW
UC,DS,0.018405281795402108,0.018405281795402108,LOW
Nzeros,FM,-0.014631686661602712,0.014631686661602712,LOW
Nzeros,AC,-0.011430484107766961,0.011430484107766961,LOW
AC,DL,-0.011350430376443456,0.011350430376443456,LOW
FM,DS,-0.010328398192303825,0.010328398192303825,LOW
DS,Nmax,0.007024261037435529,0.007024261037435529,LOW
ASTV,Tendency,-0.005747922898756687,0.005747922898756687,LOW
Nzeros,LB,-0.0047445833198870874,0.0047445833198870874,LOW
Max,MLTV,0.0020225629186499815,0.0020225629186499815,LOW
Tendency,DL,-0.0006866953328550058,0.0006866953328550058,LOW
Tendency,FM,-6.898003884843565e-05,6.898003884843565e-05,LOW
